target_changeset	contributions	deletes	modifies	creates	active_weeks	create_nodes	create_ways	create_relations	create_building	create_source	create_highway	create_name	create_natural	create_surface	create_landuse	create_power	create_waterway	create_amenity	create_service	create_oneway
51893931	26982	253	937	25792	3	22454	3337	1	2431	2	524	15	100	2	15	0	209	3	0	0
33910731	7687	237	188	7262	1	7002	260	0	0	0	255	0	0	255	0	0	0	0	0	0
32586122	25710	1114	5673	18923	124	16631	2292	0	969	675	1261	463	33	467	10	8	13	159	80	25
35493795	211	53	129	29	9	23	5	1	0	0	6	6	0	2	0	0	0	3	0	1
41964526	315467	39837	11975	263655	61	258652	4705	298	281	165	2640	366	1588	42	118	1	166	8	1	32
38025732	89923	6918	48980	34025	90	31070	2762	193	1116	33	1219	939	16	303	46	10	76	628	35	47
30438353	1211	0	38	1173	1	979	194	0	193	0	0	0	0	0	0	0	0	0	0	0
59227852	262	39	4	219	2	203	16	0	1	0	9	7	0	2	0	0	0	1	0	0
64268009	3517	127	704	2686	9	2378	307	1	99	0	130	27	25	2	4	0	0	9	0	0
63077866	2804	219	1154	1431	2	1299	132	0	27	1	37	51	73	2	12	0	0	67	1	0
56346301	41039	2286	9552	29201	5	21243	7958	0	0	88	7954	100	0	66	0	1	0	0	15	179
54574357	680882	15525	70808	594549	101	559421	34329	799	14131	21750	5477	12876	2438	363	120	0	12461	538	98	210
46897952	113238	3817	15062	94359	13	83877	10474	8	632	5	1477	76	7566	134	2180	0	604	207	320	7
19740924	4183	255	1491	2437	10	2097	339	1	46	14	58	542	10	33	11	83	101	31	8	20
66522179	4820	851	1400	2569	2	2282	257	30	125	18	12	63	293	0	8	0	2	124	1	1
61804407	1988928	23325	345663	1619940	301	1518702	101234	4	3863	1792	71384	1276	1947	428	1604	229	3833	508	5253	621
47027757	35513	324	4515	30674	11	27311	2731	632	115	0	180	694	9	1	2177	0	3	13	0	2
56106706	435	24	159	252	7	202	50	0	0	0	37	8	2	0	1	0	0	1	0	4
45445876	9	0	2	7	1	4	3	0	0	0	0	0	0	0	2	0	0	0	0	0
51105509	1304	259	415	630	4	493	125	12	2	1	84	88	16	14	1	17	4	25	2	27
54374138	3103	161	282	2660	3	2514	146	0	0	0	38	9	22	5	80	0	1	5	0	0
32799490	2707	493	70	2144	2	1839	305	0	303	0	1	7	30	1	0	0	0	9	0	0
43261292	43120	5464	11518	26138	54	23443	2668	27	836	13	1064	750	138	110	165	7	10	763	441	46
47197763	15229	2767	2898	9564	25	8552	1012	0	376	1	257	699	94	1	98	0	1	212	0	0
60972183	314165	11857	67649	234659	51	189342	45239	78	10952	176	34934	560	8	242	1	0	1	4	4636	2043
37411877	19476	603	4142	14731	31	14055	557	119	57	33	420	297	11	112	16	0	3	16	43	14
47744559	37	20	3	14	1	12	2	0	0	0	0	3	0	0	0	0	0	0	0	0
55786509	104	1	6	97	1	83	14	0	7	0	4	0	1	0	1	0	0	0	0	0
42483432	936	0	91	845	3	767	78	0	32	0	17	33	2	4	135	0	4	19	3	0
44145101	104214	169	103858	187	13	184	3	0	1	0	0	10	0	0	0	0	0	5	0	0
61864976	34	0	34	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42436654	872	711	12	149	4	126	23	0	12	0	10	33	0	0	0	0	0	9	0	7
51369847	1971	177	123	1671	2	1459	212	0	198	0	14	0	0	0	0	0	0	0	0	0
68288606	7140	557	3786	2797	7	2670	125	2	38	0	55	10	5	14	5	2	1	15	1	0
46551545	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61036752	3673	945	992	1736	20	1358	375	3	11	4	298	200	21	41	1	1	6	35	57	148
26283074	216	45	135	36	1	30	6	0	2	0	2	1	0	0	1	0	0	1	0	0
31051517	7408	711	297	6400	2	5134	1264	2	1230	0	0	0	0	0	0	0	0	0	0	0
61197700	259	13	89	157	15	134	23	0	1	3	12	14	0	0	3	0	0	26	1	1
43239174	6	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73258044	1565913	514344	433229	618340	362	550423	60444	7473	11929	19795	33317	46117	1893	647	3034	651	900	15263	8283	5455
66590666	6589	1141	1853	3595	2	3174	383	38	168	24	31	98	348	0	11	0	2	172	5	1
19947683	2839160	2783425	39761	15974	46	6376	9598	0	0	574	9593	7439	0	124	0	0	0	3	1	328
60128676	73	0	71	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22253435	2072	9	177	1886	1	1679	207	0	2	3	77	10	61	11	0	0	0	9	0	0
74770907	3368	121	312	2935	37	2620	315	0	274	21	36	47	1	1	3	0	0	28	0	0
28075756	5	0	0	5	1	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0
65028008	1193	10	90	1093	4	991	85	17	2	0	91	59	0	0	0	0	0	0	0	35
45575075	28	0	1	27	1	24	3	0	0	0	0	0	6	0	2	0	0	1	0	0
21482400	10619	1403	6853	2363	22	1871	485	7	65	10	293	84	2	193	8	0	0	70	109	67
56465370	6	0	0	6	1	5	1	0	0	1	0	0	0	1	0	0	0	0	0	0
57468709	153440	8777	45728	98935	151	87690	11078	167	8674	25	1356	820	110	75	360	1	26	607	59	89
53053690	4348	794	2995	559	13	461	98	0	73	0	21	4	0	0	1	0	0	2	0	0
44497155	118	0	15	103	1	87	16	0	1	0	5	53	0	0	1	0	1	31	0	0
52356712	73990	319	2038	71633	75	60168	11439	26	10591	0	318	79	1	164	0	0	0	31	75	0
54511384	4376	295	378	3703	3	3505	198	0	6	0	54	11	24	6	94	0	1	6	0	0
25445701	193	0	70	123	4	106	17	0	13	0	5	26	0	0	2	0	0	4	0	0
31320139	30922	2577	21476	6869	51	5057	1244	568	3	111	1727	2824	1	389	2	0	6	37	12	181
71693131	53400	933	6018	46449	49	36399	9868	182	0	34	9917	187	0	57	0	0	0	0	3059	500
53101846	1192	0	482	710	26	710	0	0	0	0	0	708	0	0	0	0	0	0	0	0
70128799	4769	959	518	3292	3	2847	444	1	143	0	37	141	171	20	154	0	19	81	4	25
75160933	58981	6504	39676	12801	12	10544	2257	0	0	357	2249	1438	0	319	1	0	8	1	3	185
41539987	193401	7527	55910	129964	166	115560	13523	881	5522	652	6022	2859	424	340	170	3	70	1775	406	950
50531973	76700	3360	18207	55133	36	49675	5426	32	115	184	5018	749	12	110	53	3	164	276	53	273
27934591	2558	3	80	2475	4	2289	186	0	19	153	167	14	0	1	0	0	0	3	0	0
63276912	43621	7135	26588	9898	12	8061	1836	1	1744	3	77	146	323	1	0	0	0	9	0	2
59026400	153754	48780	37019	67955	39	59666	7832	457	910	149	2745	2479	340	121	3198	3	5	428	1329	209
51029766	72054	845	2928	68281	37	55540	12741	0	12299	2557	251	102	28	3	45	1	0	60	0	0
68025905	2990	563	500	1927	25	1602	325	0	46	0	54	261	46	1	27	0	2	91	0	1
66282770	13	0	0	13	1	12	1	0	0	0	0	1	0	0	0	0	0	0	0	0
63829518	373866	12909	26151	334806	52	314231	18623	1952	1109	309	6331	1076	712	366	1651	166	6661	49	0	106
70295694	56115	3809	40054	12252	66	8731	2544	977	904	3	294	328	9	24	97	1186	0	30	45	1
59654024	451594	26396	66157	359041	38	332805	26236	0	8309	657	17919	87	2	1001	0	0	1	0	13	477
25038085	1084308	62087	255667	766554	39	690217	76275	62	64542	470	10107	2502	170	135	996	0	1	39	116	977
66410481	267111	6330	41060	219721	120	196746	22973	2	17465	4	2360	3852	446	30	285	7	63	2949	510	55
57652917	291460	52417	152107	86936	219	70445	15316	1175	242	260	15375	8017	15	628	109	1	39	82	2226	5517
55762524	44	0	6	38	2	34	4	0	0	0	0	0	2	0	0	0	0	0	0	0
61838308	795158	85260	254125	455773	181	412297	42890	586	3846	5714	29930	2336	3184	948	2741	504	2157	1327	8906	2022
44733212	256255	21176	54462	180617	155	165833	14073	711	1155	1107	5387	1992	10181	147	2293	114	293	217	385	1132
24010736	10946	518	6297	4131	40	2165	1953	13	2	99	1994	1601	0	414	8	0	0	3	6	49
34657625	256541	7109	22446	226986	34	199061	27794	131	12511	58	7135	641	639	509	3961	313	78	370	4	45
45459159	76	1	7	68	1	59	9	0	0	1	1	2	1	0	7	0	0	0	0	0
57629554	780593	5578	5268	769747	24	623104	146600	43	144769	0	877	8	835	0	3	0	44	3	0	0
52357523	10646	974	5609	4063	23	3403	644	16	0	245	542	259	0	129	0	0	130	0	134	86
45490766	162	0	14	148	2	126	22	0	2	0	12	4	0	0	0	0	0	0	0	0
41371274	98	14	14	70	1	58	12	0	0	0	11	2	0	0	0	0	0	0	0	0
47484353	3469	639	2434	396	10	298	98	0	73	0	21	4	0	0	1	0	0	2	0	0
29464169	503	195	16	292	5	243	49	0	11	0	9	41	3	10	1	7	0	14	0	1
30664954	1599	249	784	566	5	435	131	0	1	0	107	28	32	0	0	0	2	1	0	4
22294041	2354	12	316	2026	4	1708	318	0	103	0	91	10	0	2	121	0	0	8	0	0
77173920	1999	1937	26	36	2	30	6	0	1	0	2	2	0	0	3	0	0	0	0	0
73008776	1079371	25751	167294	886326	157	803272	80379	2675	6107	1172	61277	4408	2519	733	1443	529	9132	1670	2242	8319
32510431	686107	15280	10216	660611	10	533559	126824	228	126402	0	0	0	0	0	0	0	0	0	0	0
24945451	157	2	43	112	1	92	20	0	1	0	14	2	0	2	0	0	0	5	2	0
45937299	56082	5560	6900	43622	18	38700	4921	1	2422	2	357	179	338	44	602	5	2	228	164	21
26894116	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54425893	2164	50	550	1564	2	1378	186	0	64	1	16	6	30	1	28	0	4	1	2	0
55231248	1175751	5743	128525	1041483	121	967757	73573	153	16871	3628	40993	1578	1324	1550	9729	3506	2421	2899	966	827
38852440	44691	539	2453	41699	65	40581	1072	46	247	203	238	100	94	32	117	6	3	70	76	22
57501987	90402	2326	4113	83963	35	73640	10270	53	7947	18	418	286	794	28	69	0	0	178	77	24
