key	value
aerialway	gondola
aerialway	station
aerialway	goods
aerialway	platter
aerialway	drag_lift
aerialway	canopy
aerialway	mixed_lift
aerialway	rope_tow
aerialway	j-bar
aerialway	cable_car
aerialway	pylon
aerialway	chair_lift
aerialway	t-bar
aerialway	magic_carpet
aerialway	zip_line
aeroway	navigationaid
aeroway	taxilane
aeroway	terminal
aeroway	gate
aeroway	taxiway
aeroway	windsock
aeroway	apron
aeroway	heliport
aeroway	hangar
aeroway	highway_strip
aeroway	helipad
aeroway	aerodrome
aeroway	runway
airmark	beacon
amenity	ice_cream
amenity	gambling
amenity	fire_station
amenity	kindergarten
amenity	nightclub
amenity	toy_library
amenity	grit_bin
amenity	car_wash
amenity	social_centre
amenity	ferry_terminal
amenity	place_of_worship
amenity	waste_disposal
amenity	marketplace
amenity	bbq
amenity	pharmacy
amenity	cinema
amenity	ranger_station
amenity	social_facility
amenity	restaurant
amenity	bench
amenity	music_school
amenity	planetarium
amenity	fountain
amenity	photo_booth
amenity	fuel
amenity	kneipp_water_cure
amenity	waste_basket
amenity	clock
amenity	clinic
amenity	biergarten
amenity	hunting_stand
amenity	drinking_water
amenity	language_school
amenity	atm
amenity	bicycle_repair_station
amenity	dog_toilet
amenity	place_of_mourning
amenity	charging_station
amenity	bureau_de_change
amenity	hospital
amenity	pub
amenity	water_point
amenity	brothel
amenity	bicycle_parking
amenity	car_rental
amenity	bus_station
amenity	shelter
amenity	school
amenity	townhall
amenity	internet_cafe
amenity	bank
amenity	taxi
amenity	recycling
amenity	doctors
amenity	vending_machine
amenity	fast_food
amenity	public_bookcase
amenity	kitchen
amenity	animal_shelter
amenity	give_box
amenity	toilets
amenity	car_sharing
amenity	post_depot
amenity	lounger
amenity	telephone
amenity	college
amenity	library
amenity	parking_entrance
amenity	boat_sharing
amenity	grave_yard
amenity	shower
amenity	conference_centre
amenity	embassy
amenity	sanitary_dump_station
amenity	veterinary
amenity	baking_oven
amenity	casino
amenity	dive_centre
amenity	theatre
amenity	public_bath
amenity	refugee_site
amenity	funeral_hall
amenity	crematorium
amenity	food_court
amenity	bar
amenity	love_hotel
amenity	parking
amenity	nursing_home
amenity	studio
amenity	animal_breeding
amenity	parking_space
amenity	animal_boarding
amenity	police
amenity	waste_transfer_station
amenity	childcare
amenity	motorcycle_parking
amenity	driving_school
amenity	post_office
amenity	vehicle_inspection
amenity	baby_hatch
amenity	watering_place
amenity	boat_rental
amenity	arts_centre
amenity	stripclub
amenity	bicycle_rental
amenity	monastery
amenity	post_box
amenity	prison
amenity	swingerclub
amenity	cafe
amenity	university
amenity	courthouse
amenity	community_centre
amenity	dentist
barrier	sump_buster
barrier	lift_gate
barrier	ditch
barrier	bollard
barrier	rope
barrier	turnstile
barrier	stile
barrier	cattle_grid
barrier	kerb
barrier	log
barrier	hedge
barrier	border_control
barrier	entrance
barrier	cable_barrier
barrier	bus_trap
barrier	sliding_gate
barrier	hampshire_gate
barrier	toll_booth
barrier	wall
barrier	debris
barrier	horse_stile
barrier	height_restrictor
barrier	retaining_wall
barrier	block
barrier	city_wall
barrier	cycle_barrier
barrier	gate
barrier	swing_gate
barrier	kissing_gate
barrier	tank_trap
barrier	kent_carriage_gap
barrier	sally_port
barrier	handrail
barrier	fence
barrier	yes
barrier	jersey_barrier
barrier	spikes
barrier	motorcycle_barrier
barrier	bump_gate
barrier	guard_rail
barrier	full-height_turnstile
barrier	chain
barrier	wicket_gate
building	supermarket
building	government
building	fire_station
building	kindergarten
building	bridge
building	civic
building	water_tower
building	hut
building	shrine
building	stable
building	static_caravan
building	residential
building	bungalow
building	farm_auxiliary
building	hospital
building	industrial
building	riding_hall
building	military
building	transformer_tower
building	conservatory
building	school
building	cathedral
building	warehouse
building	sports_hall
building	stadium
building	synagogue
building	service
building	gatehouse
building	dormitory
building	container
building	cabin
building	garage
building	toilets
building	temple
building	construction
building	presbytery
building	college
building	detached
building	hangar
building	roof
building	bunker
building	cowshed
building	kiosk
building	religious
building	train_station
building	digester
building	office
building	carport
building	shed
building	parking
building	ger
building	houseboat
building	grandstand
building	semidetached_house
building	sty
building	farm
building	transportation
building	terrace
building	tree_house
building	retail
building	greenhouse
building	ruins
building	church
building	chapel
building	mosque
building	barn
building	public
building	monastery
building	garages
building	commercial
building	pavilion
building	hotel
building	bakehouse
building	house
building	yes
building	university
building	apartments
building	slurry_tank
entrance	service
entrance	yes
entrance	main
entrance	emergency
entrance	exit
height	number
height	Zahl
building:flats	number
building:flats	Zahl
building:levels	number
building:levels	Zahl
building:max_level	number
building:max_level	Zahl
building:min_level	number
building:min_level	Zahl
non_existent_levels	Zahl;Zahl;...
non_existent_levels	number
start_date	(date)
start_date	Date
start_date	Wert
start_date	Datum
start_date	date
building:fireproof	yes
building:fireproof	no
soft_storey	yes
soft_storey	reinforced
soft_storey	no
craft	winery
craft	optician
craft	sawmill
craft	dressmaker
craft	beekeeper
craft	carpenter
craft	tiler
craft	saddler
craft	parquet_layer
craft	turner
craft	blacksmith
craft	bookbinder
craft	boatbuilder
craft	basket_maker
craft	watchmaker
craft	pottery
craft	rigger
craft	gardener
craft	builder
craft	upholsterer
craft	roofer
craft	sailmaker
craft	chimney_sweeper
craft	window_construction
craft	metal_construction
craft	floorer
craft	painter
craft	hvac
craft	insulation
craft	caterer
craft	carpet_layer
craft	confectionery
craft	glaziery
craft	tailor
craft	electrician
craft	sculptor
craft	bakery
craft	handicraft
craft	clockmaker
craft	distillery
craft	jeweller
craft	plasterer
craft	stonemason
craft	agricultural_engines
craft	photographic_laboratory
craft	sun_protection
craft	photographer
craft	piano_tuner
craft	scaffolder
craft	shoemaker
craft	locksmith
craft	plumber
craft	stand_builder
craft	tinsmith
craft	key_cutter
craft	brewery
cycleway	share_busway
cycleway	asl
cycleway	opposite_track
cycleway	opposite
cycleway	shared_lane
cycleway	lane
cycleway	opposite_share_busway
cycleway	track
cycleway	opposite_lane
cycleway:right	cycleway:left
geological	Selbst definiert
geological	palaeontological_site
geological	moraine
geological	outcrop
highway	crossing
highway	give_way
highway	speed_camera
highway	corridor
highway	construction
highway	living_street
highway	elevator
highway	rest_area
highway	unclassified
highway	primary
highway	secondary_link
highway	road
highway	street_lamp
highway	bus_guideway
highway	emergency_bay
highway	cycleway
highway	secondary
highway	trunk_link
highway	motorway_link
highway	platform
highway	motorway_junction
highway	trailhead
highway	turning_loop
highway	mini_roundabout
highway	pedestrian
highway	stop
highway	traffic_mirror
highway	passing_place
highway	tertiary_link
highway	raceway
highway	bus_stop
highway	escape
highway	residential
highway	motorway
highway	emergency_access_point
highway	toll_gantry
highway	primary_link
highway	traffic_signals
highway	trunk
highway	service
highway	tertiary
highway	turning_circle
highway	bridleway
highway	milestone
highway	path
highway	proposed
highway	steps
highway	track
highway	footway
highway	services
footway	crossing
footway	sidewalk
sidewalk	left
sidewalk	both
sidewalk	no
sidewalk	right
busway	lane
abutters	industrial
abutters	retail
abutters	retail etc.
abutters	residential
abutters	mixed
abutters	commercial
bicycle_road	yes
bus_bay	left
bus_bay	both
bus_bay	right
destination	<place name of destination>
destination	name
embedded_rails	yes
embedded_rails	<type of railway>
ford	yes
ice_road	yes
incline	Wert % oder °
incline	Number %
incline	°
incline	down
incline	up
junction	roundabout
lanes	Anzahl
lanes	<number>
lit	yes
lit	no
maxspeed	Speed
maxspeed	Zahl
maxspeed	<number>
motorroad	yes
motorroad	no
mountain_pass	yes
mtb:scale	0-6
mtb:scale:uphill	0-5
mtb:scale:imba	0-4
mtb:description	Text
oneway	yes
oneway	reversible
oneway	no
oneway	-1
overtaking	yes
overtaking	forward
overtaking	caution
overtaking	both
overtaking	backward
overtaking	no
parking:condition	customers
parking:condition	disc
parking:condition	private
parking:condition	residents
parking:condition	ticket
parking:condition	free
parking:lane	parallel
parking:lane	no_parking
parking:lane	fire_lane.
parking:lane	diagonal
parking:lane	marked
parking:lane	perpendicular
parking:lane	no_stopping
passing_places	yes
priority_road	yes_unposted
priority_road	designated
priority_road	end
sac_scale	difficult_alpine_hiking
sac_scale	alpine_hiking
sac_scale	mountain_hiking
sac_scale	hiking
sac_scale	demanding_alpine_hiking
sac_scale	demanding_mountain_hiking
service	yard
service	siding
service	crossover
service	spur
service	alley
smoothness	good
smoothness	excellent
smoothness	very_horrible
smoothness	intermediate
smoothness	very_bad
smoothness	bad
smoothness	impassable
smoothness	horrible
surface	metal
surface	grass
surface	ground
surface	asphalt
surface	plastic
surface	fine_gravel
surface	concrete
surface	unpaved
surface	pebblestone
surface	dirt
surface	sand
surface	compacted
surface	gravel
surface	earth
surface	mud
surface	cobblestone
surface	grass_paver
surface	paved
surface	paving_stones
surface	wood
surface	sett
tactile_paving	yes
tactile_paving	no
tracktype	grade1
tracktype	grade4
tracktype	<ohne Wert>
tracktype	grade5
tracktype	grade3
tracktype	grade2
traffic_calming	table
traffic_calming	cushion
traffic_calming	bump
traffic_calming	yes
traffic_calming	hump
traffic_calming	etc.
traffic_calming	island
trail_visibility	good
trail_visibility	excellent
trail_visibility	intermediate
trail_visibility	bad
trail_visibility	horrible
trail_visibility	no
turn	left
turn	slight_right
turn	merge_to_right
turn	through
turn	slight_left
turn	reverse
turn	right
turn	merge_to_left
width	Number
width	Zahl
width	<number>
winter_road	yes
emergency	yes
emergency	Werte siehe
emergency	phone
historic	monument
historic	tank
historic	fort
historic	rune_stone
historic	wayside_shrine
historic	farm
historic	aqueduct
historic	memorial
historic	castle_wall
historic	manor
historic	stone
historic	castle
historic	tomb
historic	bomb_crater
historic	cannon
historic	ruins
historic	optical_telegraph
historic	church
historic	charcoal_pile
historic	pillory
historic	building
historic	tower
historic	mine_shaft
historic	monastery
historic	highwater_mark
historic	archaeological_site
historic	gallows
historic	locomotive
historic	aircraft
historic	mine
historic	wayside_cross
historic	ship
historic	wreck
historic	citywalls
historic	milestone
historic	yes
historic	vehicle
historic	railway_car
historic	battlefield
historic	city_gate
landuse	greenhouse_horticulture
landuse	construction
landuse	vineyard
landuse	grass
landuse	depot
landuse	allotments
landuse	farmland
landuse	plant_nursery
landuse	industrial
landuse	port
landuse	retail
landuse	village_green
landuse	military
landuse	greenfield
landuse	quarry
landuse	salt_pond
landuse	basin
landuse	meadow
landuse	railway
landuse	landfill
landuse	orchard
landuse	winter_sports
landuse	residential
landuse	garages
landuse	brownfield
landuse	commercial
landuse	flowerbed
landuse	farmyard
landuse	recreation_ground
landuse	cemetery
landuse	religious
landuse	forest
landuse	reservoir
leisure	bird_hide
leisure	common
leisure	picnic_table
leisure	outdoor_seating
leisure	horse_riding
leisure	dog_park
leisure	hackerspace
leisure	dance
leisure	nature_reserve
leisure	sports_centre
leisure	marina
leisure	resort
leisure	wildlife_hide
leisure	swimming_pool
leisure	slipway
leisure	fitness_station
leisure	sports_hall
leisure	sauna
leisure	ice_rink
leisure	stadium
leisure	bandstand
leisure	fishing
leisure	disc_golf_course
leisure	garden
leisure	adult_gaming_centre
leisure	playground
leisure	golf_course
leisure	beach_resort
leisure	bowling_alley
leisure	firepit
leisure	summer_camp
leisure	pitch
leisure	swimming_area
leisure	tanning_salon
leisure	trampoline_park
leisure	fitness_centre
leisure	park
leisure	escape_game
leisure	track
leisure	bleachers
leisure	water_park
leisure	miniature_golf
leisure	amusement_arcade
man_made	nesting_site
man_made	surveillance
man_made	works
man_made	pier
man_made	observatory
man_made	telescope
man_made	footwear_decontamination
man_made	street_cabinet
man_made	dovecote
man_made	adit
man_made	pipeline
man_made	clearcut
man_made	water_tap
man_made	watermill
man_made	water_works
man_made	snow_net
man_made	gasometer
man_made	bridge
man_made	mineshaft
man_made	petroleum_well
man_made	tailings_pond
man_made	reservoir_covered
man_made	obelisk
man_made	offshore_platform
man_made	goods_conveyor
man_made	wildlife_crossing
man_made	cutline
man_made	kiln
man_made	monitoring_station
man_made	silo
man_made	water_tower
man_made	bunker_silo
man_made	guard_stone
man_made	tower
man_made	survey_point
man_made	water_well
man_made	carpet_hanger
man_made	communications_tower
man_made	lighthouse
man_made	windmill
man_made	breakwater
man_made	pumping_station
man_made	dyke
man_made	pumping_rig
man_made	storage_tank
man_made	beacon
man_made	chimney
man_made	embankment
man_made	yes
man_made	wastewater_plant
man_made	mast
man_made	cross
man_made	flagpole
man_made	snow_fence
man_made	groyne
man_made	crane
military	range
military	trench
military	barracks
military	training_area
military	ammunition
military	airfield
military	naval_base
military	office
military	danger_area
military	bunker
military	launchpad
military	checkpoint
military	obstacle_course
military	nuclear_explosion_site
natural	arete
natural	grassland
natural	heath
natural	cape
natural	peak
natural	bare_rock
natural	valley
natural	sinkhole
natural	bay
natural	hill
natural	geyser
natural	stone
natural	dune
natural	shingle
natural	strait
natural	cliff
natural	sand
natural	rock
natural	water
natural	tree_row
natural	reef
natural	isthmus
natural	volcano
natural	moor
natural	beach
natural	mud
natural	spring
natural	scree
natural	glacier
natural	cave_entrance
natural	coastline
natural	peninsula
natural	hot_spring
natural	wood
natural	tree
natural	wetland
natural	ridge
natural	saddle
natural	scrub
natural	fell
office	geodesist
office	graphic_design
office	water_utility
office	financial
office	consulting
office	government
office	visa
office	property_management
office	publisher
office	logistics
office	architect
office	quango
office	estate_agent
office	tax_advisor
office	notary
office	it
office	political_party
office	forestry
office	guide
office	research
office	union
office	charity
office	foundation
office	employment_agency
office	insurance
office	association
office	travel_agent
office	telecommunication
office	company
office	security
office	coworking
office	private_investigator
office	newspaper
office	accountant
office	engineer
office	religion
office	energy_supplier
office	lawyer
office	diplomatic
office	yes
office	surveyor
office	advertising_agency
office	educational_institution
office	moving_company
office	ngo
power	switch
power	pole
power	connection
power	heliostat
power	portal
power	generator
power	plant
power	substation
power	terminal
power	compensator
power	catenary_mast
power	cable
power	switchgear
power	converter
power	transformer
power	minor_line
power	tower
power	insulator
power	line
line	busbar
line	bay
public_transport	stop_area
public_transport	station
public_transport	stop_position
public_transport	platform
railway	rail
railway	crossing
railway	construction
railway	roundhouse
railway	switch
railway	halt
railway	subway_entrance
railway	level_crossing
railway	subway
railway	light_rail
railway	disused
railway	abandoned
railway	monorail
railway	platform
railway	tram
railway	railway_crossing
railway	station
railway	tram_stop
railway	derail
railway	narrow_gauge
railway	traverser
railway	signal
railway	buffer_stop
railway	miniature
railway	turntable
railway	wash
railway	funicular
railway	preserved
bridge	…
bridge	movable
bridge	yes
bridge	viaduct
bridge	cantilever
bridge	covered
bridge	aqueduct
cutting	left
cutting	yes
cutting	right
electrified	contact_line
electrified	rail
embankment	yes
frequency	number [Hz]
frequency	Number
railway:track_ref	number
railway:track_ref	Zahl
tunnel	yes
tunnel	flooded
tunnel	culvert
tracks	number
tracks	Anzahl
usage	main
usage	transmission
voltage	number
voltage	Spannung
shop	outdoor
shop	funeral_directors
shop	beauty
shop	interior_decoration
shop	ice_cream
shop	supermarket
shop	sewing
shop	hairdresser
shop	herbalist
shop	groundskeeping
shop	flooring
shop	pest_control
shop	chemist
shop	cosmetics
shop	books
shop	cheese
shop	coffee
shop	mall
shop	agrarian
shop	hearing_aids
shop	pet_grooming
shop	video
shop	wool
shop	water
shop	vacant
shop	music
shop	alcohol
shop	fabric
shop	dairy
shop	security
shop	paint
shop	fishing
shop	radiotechnics
shop	toys
shop	e-cigarette
shop	trophy
shop	perfumery
shop	second_hand
shop	anime
shop	variety_store
shop	doityourself
shop	fuel
shop	fashion_accessories
shop	hunting
shop	religion
shop	medical_supply
shop	travel_agency
shop	trailer
shop	games
shop	leather
shop	furniture
shop	car_parts
shop	houseware
shop	bookmaker
shop	clothes
shop	pastry
shop	shoes
shop	electrical
shop	hifi
shop	pawnbroker
shop	pasta
shop	erotic
shop	car
shop	swimming_pool
shop	bag
shop	craft
shop	carpet
shop	trade
shop	boat
shop	outpost
shop	seafood
shop	butcher
shop	sports
shop	frozen_food
shop	mobile_phone
shop	spices
shop	jetski
shop	lighting
shop	electronics
shop	gas
shop	kitchen
shop	ski
shop	snowmobile
shop	military_surplus
shop	computer
shop	motorcycle
shop	household_linen
shop	video_games
shop	copyshop
shop	optician
shop	cannabis
shop	tea
shop	storage_rental
shop	general
shop	wholesale
shop	collector
shop	photo
shop	frame
shop	art
shop	beverages
shop	caravan
shop	pet
shop	candles
shop	antiques
shop	confectionery
shop	newsagent
shop	golf
shop	convenience
shop	appliance
shop	massage
shop	tyres
shop	florist
shop	boutique
shop	curtain
shop	pyrotechnics
shop	kiosk
shop	baby_goods
shop	tobacco
shop	chocolate
shop	department_store
shop	garden_furniture
shop	jewelry
shop	bed
shop	fireplace
shop	nutrition_supplements
shop	doors
shop	bicycle
shop	lottery
shop	energy
shop	farm
shop	camera
shop	laundry
shop	bathroom_furnishing
shop	hairdresser_supply
shop	deli
shop	health_food
shop	money_lender
shop	greengrocer
shop	charity
shop	hardware
shop	dry_cleaning
shop	car_repair
shop	stationery
shop	glaziery
shop	model
shop	tailor
shop	watches
shop	tiles
shop	bakery
shop	tattoo
shop	atv
shop	musical_instrument
shop	scuba_diving
shop	garden_centre
shop	party
shop	brewing_supplies
shop	weapons
shop	vacuum_cleaner
shop	locksmith
shop	gift
shop	window_blind
shop	ticket
tourism	caravan_site
tourism	information
tourism	aquarium
tourism	wilderness_hut
tourism	chalet
tourism	artwork
tourism	camp_site
tourism	attraction
tourism	motel
tourism	alpine_hut
tourism	gallery
tourism	apartment
tourism	hostel
tourism	museum
tourism	theme_park
tourism	guest_house
tourism	hotel
tourism	camp_pitch
tourism	viewpoint
tourism	yes
tourism	picnic_site
tourism	zoo
vending	flowers
vending	contact_lenses
vending	ice_cream
vending	condoms
vending	ink_cartridges
vending	sweets
vending	fishing_tackle
vending	cigarettes
vending	newspapers
vending	syringes
vending	chemist
vending	telephone_vouchers
vending	bread
vending	books
vending	coffee
vending	sex_toys
vending	milk
vending	art
vending	bottle_return
vending	ice_cubes
vending	stamps
vending	first_aid
vending	bicycle_tube
vending	animal_feed
vending	candles
vending	photos
vending	public_transport_plans
vending	excrement_bags
vending	food
vending	parking_tickets
vending	water
vending	parcel_pickup
vending	e-cigarettes
vending	toll
vending	admission_tickets
vending	chewing_gums
vending	toys
vending	SIM_cards
vending	umbrellas
vending	elongated_coin
vending	public_transport_tickets
vending	electronics
vending	drinks
vending	fuel
vending	fishing_bait
vending	pizza
vending	parcel_mail_in
vending	feminine_hygiene
vending	laundry_detergent
waterway	stream
waterway	ditch
waterway	weir
waterway	canal
waterway	riverbank
waterway	fish_pass
waterway	tidal_channel
waterway	water_point
waterway	turning_point
waterway	river
waterway	waterfall
waterway	dam
waterway	boatyard
waterway	drain
waterway	lock_gate
waterway	pressurised
waterway	dock
waterway	fuel
waterway	fairway
intermittent	yes
seasonal	yes, spring, summer, autumn, winter, wet_season, dry_season
lock	yes
mooring	yes, private, no
boundary	marker
boundary	administrative
boundary	maritime
boundary	hazard
boundary	protected_area
boundary	special_economic_zone
boundary	national_park
boundary	political
boundary	postal_code
boundary	aboriginal_lands
admin_level	(number)
border_type	*
area	yes
charge	Number
charge	Zahl
charge	amount
covered	yes
crossing	uncontrolled
crossing	unmarked
crossing	island
crossing	no
crossing	traffic_signals
crossing:island	yes
crossing:island	no
disused	yes
drive_through	yes
drive_through	no
drive_in	yes
drive_in	no
ele	Number
ele	Zahl
end_date	Datum
end_date	Date
est_width	Number
est_width	Zahl
fire_object:type	poo
fire_object:type	szo
fire_operator	Name
fire_rank	2 to 5
fire_rank	1bis
internet_access	wlan
internet_access	wired
internet_access	yes
internet_access	terminal
internet_access	no
layer	-5 bis 5
layer	-5 to 5
leaf_cycle	semi_evergreen
leaf_cycle	semi_deciduous
leaf_cycle	mixed
leaf_cycle	deciduous
leaf_cycle	evergreen
leaf_type	broadleaved
leaf_type	needleleaved
leaf_type	mixed
leaf_type	leafless
location	overground
location	indoor
location	underwater
location	roof
location	underground
narrow	yes
nudism	yes
nudism	permissive
nudism	customary
nudism	no
nudism	obligatory
opening_hours	7
opening_hours	24
operator	Benutzer definiert
produce	Benutzer definiert
service_times	see opening_hours
service_times	siehe opening_hours
tidal	yes
toilets:wheelchair	yes
toilets:wheelchair	no
wheelchair	yes
wheelchair	limited
wheelchair	no
access	
access	delivery
access	agricultural
agricultural	yes
agricultural	no
atv	For values see
atv	Werte siehe
bdouble	For values see
bdouble	Werte siehe
bicycle	For values see
bicycle	Werte siehe
boat	For values see
boat	Werte siehe
electric_bicycle	For values see
foot	For values see
foot	Werte siehe
forestry	yes
forestry	no
golf_cart	For values see
goods	For values see
goods	Werte siehe
hazmat	For values see
hazmat	Werte siehe
hgv	For values see
hgv	Werte siehe
horse	For values see
horse	Werte siehe
lhv	For values see
mofa	For values see
mofa	Werte siehe
moped	For values see
moped	Werte siehe
motorboat	For values see
motorcar	For values see
motorcar	Werte siehe
motorcycle	For values see
motorcycle	Werte siehe
motor_vehicle	For values see
motor_vehicle	Werte siehe
psv	For values see
psv	Werte siehe
roadtrain	For values see
ski	For values see
ski	Werte siehe
speed_pedelec	For values see
tank	For values see
tank	Werte siehe
vehicle	For values see
vehicle	Werte siehe
4wd_only	yes
maxaxleload	Weight
maxaxleload	Zahl
maxheight	Zahl
maxheight	Height
maxlength	Zahl
maxlength	Length
maxstay	Number
maxstay	Zahl
maxweight	Weight
maxweight	Zahl
maxwidth	Width
maxwidth	Zahl
minspeed	Speed
minspeed	Zahl
noexit	yes
toll	yes
traffic_sign	city_limit
route	
route	bicycle
route	road
route	canoe
route	detour
route	subway
route	light_rail
route	bus
route	train
route	ferry
route	tram
route	railway
route	trolleybus
route	running
route	tracks
route	inline_skates
route	foot
route	ski
route	mtb
route	hiking
route	horse
route	piste
healthcare	speech_therapist
healthcare	laboratory
healthcare	nurse
healthcare	blood_bank
healthcare	physiotherapist
healthcare	hospice
healthcare	blood_donation
healthcare	vaccination_centre
healthcare	rehabilitation
healthcare	sample_collection
healthcare	audiologist
healthcare	dialysis
healthcare	alternative
healthcare	counselling
healthcare	optometrist
healthcare	podiatrist
healthcare	psychotherapist
healthcare	midwife
healthcare	occupational_therapist
healthcare	birthing_center
addr:interpolation	Number
addr:interpolation	all
addr:interpolation	alphabetic
addr:interpolation	odd
addr:interpolation	even
addr:inclusion	estimate
addr:inclusion	actual
addr:inclusion	potential
name:left	name:right
inline_skates	yes
inline_skates	no
